ID, Domain, len, objs, valid_exe, invalid_exe
46, childsnack, 27, 40, 0.7253727753727753, 0.9983673469387755
47, childsnack, 81, 40, 0.7253727753727753, 0.9983673469387755
48, childsnack, 126, 38, 0.7253727753727753, 0.9983673469387755
49, childsnack, 219, 33, 0.2569170323251956, 1.0
50, childsnack, 27, 40, 0.7253727753727753, 0.9983673469387755
51, childsnack, 81, 40, 0.7253727753727753, 0.9983673469387755
52, childsnack, 126, 38, 0.7253727753727753, 0.9983673469387755
53, childsnack, 219, 33, 0.2569170323251956, 1.0
54, childsnack, 27, 40, 0.7253727753727753, 0.9983673469387755
55, childsnack, 81, 40, 0.7253727753727753, 0.9983673469387755
56, childsnack, 126, 38, 0.7253727753727753, 0.9983673469387755
57, childsnack, 219, 33, 0.2569170323251956, 1.0
58, ferry, 10, 23, 0.2527733889395089, 1.0
59, ferry, 30, 24, 0.260590355143869, 1.0
60, ferry, 48, 23, 0.2527733889395089, 1.0
61, ferry, 88, 19, 0.18721792880167892, 1.0
62, ferry, 223, 17, 0.9166416321303616, 0.9741496839742454
63, ferry, 449, 16, 0.2527733889395089, 1.0
64, ferry, 15, 23, 0.260590355143869, 1.0
65, ferry, 45, 24, 0.260590355143869, 1.0
66, ferry, 68, 23, 0.2527733889395089, 1.0
67, ferry, 123, 19, 0.18721792880167892, 1.0
68, ferry, 315, 17, 0.9166416321303616, 0.9741496839742454
69, ferry, 627, 16, 0.260590355143869, 1.0
70, ferry, 30, 23, 0.9852426183020898, 0.941143650442257
71, ferry, 88, 24, 0.260590355143869, 1.0
72, ferry, 126, 23, 0.9852426183020898, 0.941143650442257
73, ferry, 226, 19, 0.18721792880167892, 1.0
74, ferry, 552, 17, 0.9852426183020898, 0.941143650442257
75, ferry, 47, 23, 0.9852426183020898, 0.941143650442257
76, ferry, 125, 24, 0.260590355143869, 1.0
77, ferry, 183, 23, 0.9852426183020898, 0.941143650442257
78, ferry, 325, 19, 0.18721792880167892, 1.0
