ID, Domain, len, len%, valid_acceptance, invalid_acceptance
108, blocksworld, 358, 0.072264836495761, 1.0, 0.6495341285505835
109, blocksworld, 372, 0.07509083568833266, 1.0, 0.6495341285505835
110, blocksworld, 388, 0.0783205490512717, 1.0, 0.6495341285505835
111, blocksworld, 364, 0.07347597900686315, 1.0, 0.6495341285505835
112, blocksworld, 380, 0.07670569236980218, 1.0, 0.6495341285505835
113, blocksworld, 456, 0.09204683084376261, 1.0, 0.6495341285505835
114, blocksworld, 428, 0.0863948324586193, 1.0, 0.6495341285505835
115, blocksworld, 370, 0.07468712151796528, 1.0, 0.6495341285505835
116, blocksworld, 350, 0.07064997981429148, 1.0, 0.6495341285505835
117, blocksworld, 94, 0.018974566007266856, 1.0, 0.6495341285505835
118, blocksworld, 70, 0.014129995962858296, 1.0, 0.6495341285505835
119, blocksworld, 86, 0.017359709325797335, 1.0, 0.6495341285505835
120, blocksworld, 28, 0.005651998385143318, 1.0, 0.6495341285505835
121, blocksworld, 42, 0.008477997577714978, 1.0, 0.6495341285505835
122, blocksworld, 14, 0.002825999192571659, 1.0, 0.6495341285505835
123, blocksworld, 52, 0.010496568429551878, 1.0, 0.6495341285505835
124, blocksworld, 84, 0.016955995155429955, 1.0, 0.6495341285505835
125, blocksworld, 162, 0.03270084779975777, 1.0, 0.6495341285505835
126, blocksworld, 286, 0.05773112636253532, 1.0, 0.6495341285505835
127, blocksworld, 262, 0.05288655631812677, 1.0, 0.6495341285505835
128, blocksworld, 170, 0.03431570448122729, 1.0, 0.6495341285505835
129, blocksworld, 400, 0.08074283407347597, 1.0, 0.6495341285505835
130, blocksworld, 186, 0.03754541784416633, 1.0, 0.6495341285505835
131, blocksworld, 82, 0.016552280985062576, 1.0, 0.6495341285505835
132, blocksworld, 198, 0.03996770286637061, 1.0, 0.6495341285505835
133, blocksworld, 180, 0.036334275333064193, 1.0, 0.6495341285505835
134, blocksworld, 218, 0.04400484457004441, 1.0, 0.6495341285505835
135, blocksworld, 432, 0.08720226079935406, 1.0, 0.6495341285505835
136, blocksworld, 510, 0.10294711344368188, 1.0, 0.6495341285505835
137, blocksworld, 690, 0.13928138877674606, 1.0, 0.6495341285505835
138, blocksworld, 582, 0.11748082357690755, 1.0, 0.6495341285505835
139, blocksworld, 598, 0.12071053693984658, 1.0, 0.6495341285505835
140, blocksworld, 528, 0.1065805409769883, 1.0, 0.6495341285505835
141, blocksworld, 486, 0.09810254339927331, 1.0, 0.6495341285505835
142, blocksworld, 536, 0.10819539765845781, 1.0, 0.6495341285505835
143, blocksworld, 444, 0.08962454582155834, 1.0, 0.6495341285505835
144, blocksworld, 424, 0.08558740411788454, 1.0, 0.6495341285505835
145, childsnack, 10, 0.004655493482309125, 0.0, 0.0
146, childsnack, 10, 0.004655493482309125, 0.0, 0.0
147, childsnack, 10, 0.004655493482309125, 0.0, 0.0
148, childsnack, 10, 0.004655493482309125, 0.0, 0.0
149, childsnack, 10, 0.004655493482309125, 0.0, 0.0
