ID, Domain, len, objs, valid_exe, invalid_exe
157, rovers, 30, 28, 0, 0
158, rovers, 90, 28, 0, 0
159, rovers, 132, 26, 0, 0
160, rovers, 237, 23, 0, 0
161, rovers, 589, 22, 0, 0
162, rovers, 30, 28, 0, 0
163, rovers, 124, 28, 0, 0
164, rovers, 186, 26, 0, 0
165, rovers, 311, 23, 0, 0
166, rovers, 30, 28, 0, 0
167, rovers, 149, 28, 0, 0
168, rovers, 236, 26, 0, 0
169, rovers, 386, 23, 0, 0
170, rovers, 30, 28, 0, 0
171, rovers, 174, 28, 0, 0
172, rovers, 286, 26, 0, 0
173, rovers, 442, 23, 0, 0
174, satellite, 10, 30, 0.5125100501651072, 0.0
175, satellite, 30, 31, 0.5425411908583002, 1.0
176, satellite, 50, 30, 0.5575567612048966, 0.38953502058598055
177, satellite, 96, 25, 0.4719595148243713, 0.09090909090909091
178, satellite, 246, 24, 0.5026636299863384, 0.9292929292929293
179, satellite, 496, 23, 0.7674391202066692, 0.7272727272727273
180, satellite, 15, 30, 0.8173606661540413, 0.8988593330703887
181, satellite, 45, 31, 0.030031140693192977, 0.7575757575757576
182, satellite, 75, 30, 0.6811068549626126, 0.8686868686868687
183, satellite, 141, 25, 0.4719595148243713, 0.09090909090909091
184, satellite, 366, 24, 0.7397759543641615, 0.12729233659945757
185, satellite, 741, 23, 0.7033159459072449, 0.8471221371221371
186, satellite, 30, 30, 0.9616512676315028, 0.494949494949495
187, satellite, 90, 31, 0.9616512676315028, 0.494949494949495
188, satellite, 150, 30, 1.0, 0.6262150032193747
189, satellite, 276, 25, 0.4719595148243713, 0.09090909090909091
190, satellite, 711, 24, 0.8165596149107356, 0.7290116980092929
191, satellite, 50, 30, 0.9838494989047065, 0.0
192, satellite, 150, 31, 0.9616512676315028, 0.494949494949495
193, satellite, 248, 30, 0.9661697746124942, 0.0
194, satellite, 440, 25, 0.4719595148243713, 0.09090909090909091
195, satellite, 75, 30, 1.0, 0.6261165961687069
196, satellite, 225, 31, 0.9838494989047065, 0.0
197, satellite, 348, 30, 0.9838494989047065, 0.0
198, satellite, 615, 25, 0.4719595148243713, 0.09090909090909091
199, satellite, 100, 30, 0.9838494989047065, 0.0
200, satellite, 300, 31, 1.0, 0.6254091000146901
201, satellite, 448, 30, 0.9838494989047065, 0.0
202, satellite, 790, 25, 0.4719595148243713, 0.09090909090909091
203, sokoban, 10, 128, 0.6052985729520934, 0.9986700336700336
204, sokoban, 29, 130, 0.9404997834451722, 0.825753267288346
205, sokoban, 45, 127, 0.9404997834451722, 0.8277716456767487
206, sokoban, 88, 113, 0.4845390720827535, 0.16035353535353536
207, sokoban, 229, 108, 0.9782930093146418, 0.7599063379665313
208, sokoban, 456, 103, 0.20170075626832829, 0.0
209, sokoban, 15, 128, 0.6591396135911195, 1.0
