ID, Domain, len, objs, valid_exe, invalid_exe
57, childsnack, 219, 33, 0.2569170323251956, 0.08641149100332773
58, ferry, 10, 23, 0.2527733889395089, 0.0834679397685926
59, ferry, 30, 24, 0.260590355143869, 0.0834679397685926
60, ferry, 48, 23, 0.2527733889395089, 0.0834679397685926
61, ferry, 88, 19, 0.18721792880167892, 0.09241611585697634
62, ferry, 223, 17, 0.9166416321303616, 0.5506686959164547
63, ferry, 449, 16, 0.2527733889395089, 0.0834679397685926
64, ferry, 15, 23, 0.260590355143869, 0.0834679397685926
65, ferry, 45, 24, 0.260590355143869, 0.0834679397685926
66, ferry, 68, 23, 0.2527733889395089, 0.0834679397685926
67, ferry, 123, 19, 0.18721792880167892, 0.09241611585697634
68, ferry, 315, 17, 0.9166416321303616, 0.5506686959164547
69, ferry, 627, 16, 0.260590355143869, 0.0834679397685926
70, ferry, 30, 23, 0.9852426183020898, 0.8383018670692456
71, ferry, 88, 24, 0.260590355143869, 0.0834679397685926
72, ferry, 126, 23, 0.9852426183020898, 0.8383018670692456
73, ferry, 226, 19, 0.18721792880167892, 0.09241611585697634
74, ferry, 552, 17, 0.9852426183020898, 0.8383018670692456
75, ferry, 47, 23, 0.9852426183020898, 0.8383018670692456
76, ferry, 125, 24, 0.260590355143869, 0.0834679397685926
77, ferry, 183, 23, 0.9852426183020898, 0.8383018670692456
78, ferry, 325, 19, 0.18721792880167892, 0.09241611585697634
79, ferry, 47, 23, 0.9852426183020898, 0.8383018670692456
80, ferry, 150, 24, 0.9852426183020898, 0.8383018670692456
81, ferry, 233, 23, 0.9852426183020898, 0.8383018670692456
82, ferry, 393, 19, 0.18721792880167892, 0.09241611585697634
83, ferry, 47, 23, 0.9852426183020898, 0.8383018670692456
84, ferry, 154, 24, 0.9852426183020898, 0.8383018670692456
85, ferry, 240, 23, 0.9852426183020898, 0.8383018670692456
86, ferry, 400, 19, 0.18721792880167892, 0.09241611585697634
87, floortile, 10, 34, 0.10321982891333326, 0.019525586624568575
88, floortile, 30, 36, 0.13338380920190018, 0.03558518807632622
89, floortile, 50, 32, 0.14115262065571946, 0.0444637423614887
90, floortile, 95, 28, 0.136646907871654, 0.03577848704539839
91, floortile, 243, 28, 0.1548865014684614, 0.03633595978518445
92, floortile, 493, 27, 0.1385777592998317, 0.04253340191938592
93, floortile, 15, 34, 0.1257323440099658, 0.029903561171851036
94, floortile, 45, 36, 0.1548865014684614, 0.03633595978518445
95, floortile, 75, 32, 0.1470700132082694, 0.045428804322317475
96, floortile, 140, 28, 0.1503331118780232, 0.04563173813096956
