ID, Domain, len, len%, acceptance_rate, invalid_acceptance_rate
282, childsnack, 75, 0.034916201117318434, 1.0, 0.0
283, childsnack, 108, 0.05027932960893855, 1.0, 0.0
284, childsnack, 269, 0.12523277467411545, 1.0, 0.0
285, childsnack, 179, 0.08333333333333333, 1.0, 0.0
286, childsnack, 215, 0.10009310986964619, 1.0, 0.0
287, childsnack, 213, 0.09916201117318436, 1.0, 0.0
288, childsnack, 191, 0.08891992551210429, 1.0, 0.0
289, childsnack, 225, 0.10474860335195531, 1.0, 0.0
290, childsnack, 201, 0.0935754189944134, 1.0, 0.0
291, childsnack, 223, 0.10381750465549348, 1.0, 0.0
292, childsnack, 235, 0.10940409683426443, 1.0, 0.0
293, childsnack, 177, 0.0824022346368715, 1.0, 0.0
294, ferry, 10, 0.002730748225013654, 1.0, 0.0
295, ferry, 10, 0.002730748225013654, 1.0, 0.0
296, ferry, 10, 0.002730748225013654, 1.0, 0.0
297, ferry, 10, 0.002730748225013654, 1.0, 0.0
298, ferry, 8, 0.002184598580010923, 1.0, 0.0
299, ferry, 10, 0.002730748225013654, 0.1, 0.0
300, ferry, 10, 0.002730748225013654, 1.0, 0.0
301, ferry, 10, 0.002730748225013654, 1.0, 0.0
302, ferry, 10, 0.002730748225013654, 1.0, 0.0
303, ferry, 10, 0.002730748225013654, 0.1, 0.0
304, ferry, 30, 0.008192244675040962, 1.0, 0.0
305, ferry, 50, 0.013653741125068269, 1.0, 0.0
306, ferry, 30, 0.008192244675040962, 1.0, 0.0
307, ferry, 48, 0.013107591480065538, 1.0, 0.0
308, ferry, 40, 0.010922992900054615, 1.0, 0.0
309, ferry, 50, 0.013653741125068269, 1.0, 0.0
310, ferry, 40, 0.010922992900054615, 1.0, 0.0
311, ferry, 48, 0.013107591480065538, 1.0, 0.0
312, ferry, 28, 0.007646095030038231, 1.0, 0.0
313, ferry, 45, 0.012288367012561441, 1.0, 0.0
314, ferry, 100, 0.027307482250136537, 1.0, 0.0
315, ferry, 97, 0.026488257782632443, 1.0, 0.0
316, ferry, 100, 0.027307482250136537, 1.0, 0.0
317, ferry, 100, 0.027307482250136537, 1.0, 0.0
318, ferry, 83, 0.022665210267613325, 1.0, 0.0
319, ferry, 80, 0.02184598580010923, 1.0, 0.0
320, ferry, 97, 0.026488257782632443, 1.0, 0.0
321, ferry, 88, 0.02403058438012015, 1.0, 0.0
322, ferry, 98, 0.026761332605133806, 1.0, 0.0
323, ferry, 88, 0.02403058438012015, 1.0, 0.0
324, ferry, 20, 0.005461496450027308, 1.0, 0.0
325, ferry, 20, 0.005461496450027308, 1.0, 0.0
326, ferry, 20, 0.005461496450027308, 1.0, 0.0
327, ferry, 20, 0.005461496450027308, 1.0, 0.0
328, ferry, 20, 0.005461496450027308, 1.0, 0.0
329, ferry, 20, 0.005461496450027308, 1.0, 0.0
330, ferry, 20, 0.005461496450027308, 1.0, 0.0
331, ferry, 20, 0.005461496450027308, 1.0, 0.0
332, ferry, 20, 0.005461496450027308, 1.0, 0.0
333, ferry, 20, 0.005461496450027308, 1.0, 0.0
334, ferry, 60, 0.016384489350081924, 1.0, 0.0
335, ferry, 68, 0.018569087930092845, 1.0, 0.0
336, ferry, 99, 0.027034407427635174, 1.0, 0.0
337, ferry, 59, 0.016111414527580557, 1.0, 0.0
338, ferry, 75, 0.0204806116876024, 1.0, 0.0
339, ferry, 87, 0.023757509557618788, 1.0, 0.0
340, ferry, 82, 0.02239213544511196, 1.0, 0.0
341, ferry, 55, 0.015019115237575096, 1.0, 0.0
342, ferry, 90, 0.024576734025122882, 1.0, 0.0
343, ferry, 100, 0.027307482250136537, 1.0, 0.0
344, ferry, 183, 0.04997269251774986, 1.0, 0.0
345, ferry, 183, 0.04997269251774986, 1.0, 0.0
346, ferry, 168, 0.045876570180229385, 1.0, 0.0
347, ferry, 174, 0.047515019115237575, 1.0, 0.0
348, ferry, 156, 0.042599672310213, 1.0, 0.0
349, ferry, 187, 0.051064991807755325, 1.0, 0.0
350, ferry, 122, 0.033315128345166575, 1.0, 0.0
351, ferry, 147, 0.04014199890770071, 1.0, 0.0
352, ferry, 109, 0.029765155652648825, 1.0, 0.0
353, ferry, 191, 0.05215729109776079, 1.0, 0.0
