ID, Domain, len, len%, valid_exe, invalid_exe
40, blocksworld, 61, 0.012313282196205087, 0.40513898181553243, 0.9854545454545455
41, blocksworld, 69, 0.013928138877674606, 0.4147834429608808, 0.9854545454545455
42, blocksworld, 68, 0.013726281792490917, 0.28044776143401734, 0.9837037037037037
43, blocksworld, 72, 0.014533710133225677, 0.4390826220857631, 0.9854545454545455
44, blocksworld, 145, 0.029269277351635044, 0.28044776143401734, 0.9837037037037037
45, blocksworld, 108, 0.021800565199838515, 0.28044776143401734, 0.9837037037037037
46, blocksworld, 150, 0.030278562777553492, 0.28044776143401734, 0.9837037037037037
47, blocksworld, 130, 0.02624142107387969, 0.28044776143401734, 0.9837037037037037
48, blocksworld, 139, 0.028058134840532902, 0.40513898181553243, 0.9854545454545455
49, blocksworld, 345, 0.06964069438837303, 0.28044776143401734, 0.9837037037037037
50, blocksworld, 361, 0.07287040775131207, 0.28044776143401734, 0.9837037037037037
51, blocksworld, 359, 0.0724666935809447, 0.28044776143401734, 0.9837037037037037
52, blocksworld, 351, 0.07085183689947518, 0.28044776143401734, 0.9837037037037037
53, blocksworld, 338, 0.0682276947920872, 0.28044776143401734, 0.9837037037037037
54, blocksworld, 645, 0.13019781994348, 0.4154280381168697, 0.9819528619528619
55, blocksworld, 690, 0.13928138877674606, 0.28044776143401734, 0.9837037037037037
56, blocksworld, 669, 0.13504238998788856, 0.3743502810523842, 0.983030303030303
57, blocksworld, 687, 0.13867581752119498, 0.28044776143401734, 0.9837037037037037
58, blocksworld, 676, 0.1364553895841744, 0.4671028675115175, 0.9799326599326599
59, blocksworld, 30, 0.006055712555510699, 0.39955124583067786, 0.9819528619528619
60, blocksworld, 30, 0.006055712555510699, 0.19686526926633768, 0.9986531986531986
61, blocksworld, 30, 0.006055712555510699, 0.19686526926633768, 0.9986531986531986
62, blocksworld, 30, 0.006055712555510699, 0.19686526926633768, 0.9986531986531986
63, blocksworld, 30, 0.006055712555510699, 0.19686526926633768, 0.9986531986531986
64, blocksworld, 38, 0.007670569236980218, 0.4671028675115175, 0.9799326599326599
65, blocksworld, 90, 0.018167137666532097, 0.3225023755864851, 0.9878787878787879
66, blocksworld, 50, 0.010092854259184497, 0.43783288493660827, 0.9870707070707071
67, blocksworld, 38, 0.007670569236980218, 0.4671028675115175, 0.9799326599326599
68, blocksworld, 52, 0.010496568429551878, 0.40972934333723154, 0.9870707070707071
69, blocksworld, 76, 0.015341138473960436, 0.28044776143401734, 0.9837037037037037
70, blocksworld, 144, 0.029067420266451354, 0.28044776143401734, 0.9837037037037037
71, blocksworld, 142, 0.02866370609608397, 0.28044776143401734, 0.9837037037037037
72, blocksworld, 126, 0.025433992733144933, 0.28044776143401734, 0.9837037037037037
73, blocksworld, 134, 0.027048849414614454, 0.4051073584261386, 0.9854545454545455
74, blocksworld, 270, 0.05450141299959629, 0.4390826220857631, 0.9854545454545455
75, blocksworld, 234, 0.04723455793298345, 0.41375391405604867, 0.9835690235690235
76, blocksworld, 226, 0.045619701251513926, 0.43558767062401876, 0.9815488215488216
77, blocksworld, 290, 0.05853855470327009, 0.28044776143401734, 0.9837037037037037
78, blocksworld, 242, 0.04884941461445297, 0.40513898181553243, 0.9854545454545455
79, blocksworld, 564, 0.11384739604360113, 0.28044776143401734, 0.9837037037037037
80, blocksworld, 672, 0.13564796124343964, 0.28044776143401734, 0.9837037037037037
81, blocksworld, 604, 0.12192167945094873, 0.43558767062401876, 0.9815488215488216
82, blocksworld, 598, 0.12071053693984658, 0.28044776143401734, 0.9837037037037037
83, blocksworld, 698, 0.14089624545821558, 0.28044776143401734, 0.9837037037037037
84, blocksworld, 12, 0.0024222850222042794, 0.40513898181553243, 0.9854545454545455
